"character","dialogue","episode","annotation"
"LISA","Thank you. As these fossil fuels fund our education, let us educate others about renewable energy sources, such as","2F16   WHO SHOT MR. BURNS","8"
"LISA","Oh, no. that’s awful, Mr. Puente. What? Oh. He owns the nuclear power plant.  Yeah, I’d like to settle his hash, too. Lisa hangs up. Bart enters with the dog SQUEAKING behind on its cart. The dog goes out of his way to run over the cat’s tail.","2F16   WHO SHOT MR. BURNS","8"
"LISA","Dad, how can you work for a man like Mr. Burns?","2F16   WHO SHOT MR. BURNS","2"
"LISA","""Marge, Bart, Lisa, and Maggie."" Dad, this doesn’t have your name on it.","2F16   WHO SHOT MR. BURNS","2"
"LISA","Sorry, Grampa. It’s just that, for a second, it looked like Dad had melted.","2F16   WHO SHOT MR. BURNS","3"
"LISA","Everyone in Springfield had a reason to shoot Mr. Burns. Even us.","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","Bart, he broke your dog’s legs. Grampa, he destroyed your home. And Dad, well, you went kind of berserk when he couldn’t remember your name.","2F20   WHO SHOT MR. BURNS 2","2"
"LISA","Yeah, I was just getting to me. Because of Mr. Burns, they cancelled my jazz program, and my friend Tito Puente got fired. But I could never shoot someone.","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","Actually, Mom, in 95% of cases, it is. The rest of the time, it’s usually some deranged lunatic who did it for no reason. Everyone looks at Homer.","2F20   WHO SHOT MR. BURNS 2","2"
"LISA","Well, I don’t think anyone in this family is capable of attempted murder.","2F20   WHO SHOT MR. BURNS 2","8"
"LISA","Nancy Drew says that all you need to solve a mystery is an inquisitive temperament and two good friends. And I’ve got an inquisitive temperament! Maybe I could help solve this!","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","Mr. Burns is the richest man in town. Maybe it was about money.","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","Hey! I said that. My name is Lisa Simpson, and I made a chart of all the suspects in the Burns case. Look.","2F20   WHO SHOT MR. BURNS 2","1"
"LISA","Mr. Burns hurt all these people financially: nightclub owner Moe Szyslak. His bar was closed because of Burns’ negligence; liquor connoisseur Barney Gumble. When Moe’s closed, Barney lost his only means of support - - sucking coins out of the Love Tester machine.","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","Dedicated educator Principal Seymour Skinner. His school lost millions when Burns pirated its oil well; and grounds-tender Groundskeeper Willie. He lost his job and his dream of owning a space-age leaf blower.","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","Chief Wig-gum... Don’t eat... the clues. He takes the donut away from his mouth. It is no longer a","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","Hey, Chief Wiggum, what are you doing? What’s going on?","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","They have Simpson D.N.A. It could’ve come from any of us. Except you, since you’re a Bouvier.","2F20   WHO SHOT MR. BURNS 2","2"
"LISA","Okay, Mom. Anyway, my point is, the evidence isn’t as concrete as it seems. Like those fingerprints. They could’ve gotten on the gun some other way. LISA’S FLASHBACK - SIMPSON CAR Lisa sits in the passenger seat, eating a banana. Homer holds an ice cream cone in each hand and steers with his knees.","2F20   WHO SHOT MR. BURNS 2","8"
"LISA","And we don’t even know whose gun that was. Maybe somebody planted it there to frame Dad. Their gaze drifts over to Grampa.","2F20   WHO SHOT MR. BURNS 2","5"
"LISA","The scene of the crime! There must be something here that can clear Dad.","2F20   WHO SHOT MR. BURNS 2","4"
"LISA","That’s it! Oh, Mr. Pigeon, I’d kiss you if you weren’t swimming with disease. Her memory flashes to:","2F20   WHO SHOT MR. BURNS 2","3"
"LISA","So, the D.N.A. was right. It must’ve been... Oh, Dad!","2F20   WHO SHOT MR. BURNS 2","8"
"LISA","Hey, c’mon! Those are prescription © shoes! I need them!","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","5"
"LISA","You don’t understand. “Mom and Dad take good. care of us. At that moment one of her teeth falls out with a PLINK.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"LISA","| | wee Well, when was the last time Dad gave her that kind of attention?","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"LISA","And they read Newsweek instead of nothing. | C’mon, you Gloomy Gusses. “Who's up for a big bowl of non-fat ice milk? |","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","5"
"LISA","You know, Maggie hasn’t been a Simpson as long as us. I think she’s beginning to forget Mom and Dad.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"LISA","Or the way Dad used to call the radio station with fake traffic tips?","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"LISA","| ‘They’re ten feet away and we can’t even talk to them. I wish I could tell them how much I miss them.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","7"
"LISA","Let’s see. Dirt... dirt... Well, there wasn’t really much dirt.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","5"
"LISA","But people can't help looking at then. They’re wrecking the town.","3F04   TREEHOUSE OF HORROR VI","4"
"LISA","Hey, Springfield! Are you suffering from the heartbreak of monsteritis?  Then take a tip from Mr. Paul Anka... |","3F04   TREEHOUSE OF HORROR VI","4"
"LISA","Bart, don’t you realize what this means? The next time we fall asleep we","3F04   TREEHOUSE OF HORROR VI","2"
"LISA","Okay, but promise you won’t be grouchy. Bart YAWNS and drifts off to sleep.","3F04   TREEHOUSE OF HORROR VI","7"
"LISA","Bart, wake up! You've got to get out of this drean!","3F04   TREEHOUSE OF HORROR VI","2"
"LISA","I don’t know, Bart. Something tells me Willie’s still out there, and that he could come back any time in any form and kill us in ways we can't even imagine. A city bus pulls up and stops across the street. The doors open, and Willie gets off. He glares at the Simpson children and makes a variety of mildly scary gestures.","3F04   TREEHOUSE OF HORROR VI","3"
"LISA","When I grow up, I'm going to drink Kingpin Brand malt liquor.  In moderation.","3F14   HOMER THE SMITHERS","5"
"LISA","Don't be nervous, Dad. Assisting Mr. Burns could give your career a real shot in the arm.","3F14   HOMER THE SMITHERS","7"
"LISA","Simpson! I need a ride to the library. Marge enters.","3F14   HOMER THE SMITHERS","4"
"LISA","Are you sure he's dead? Maybe you just really really hurt him.","3F14   HOMER THE SMITHERS","8"
"LISA","Don't worry, Dad. Mr. Smithers is a resilient man. I'm sure he can get a great job at any corporation he wants.","3F14   HOMER THE SMITHERS","8"
"LISA","Come on, Mom, the stores just invented this holiday to make money.","5F09   TRASH OF THE TITANS","8"
"LISA","It’s full, Dad. That means you have to take out the trash.","5F09   TRASH OF THE TITANS","2"
"LISA","Dad, is this another one of those situations that could be solved by a Simple apology?","5F09   TRASH OF THE TITANS","2"
"LISA","kee But Dad, you can’t cram garbage under asvisgricia forever.","5F09   TRASH OF THE TITANS","2"
"LISA","Talk about bad luck! I forgot to wear socks today. Guess I can’t try those on. Rats!","5F10   THE LAST TEMPTATION OF KRUST ","7"
"LISA","Dad, the zebra didn’t do it. It’s just a word at the end of the dictionary.","5F10   THE LAST TEMPTATION OF KRUST ","2"
"LISA","He’s got nothing to lose so he’s taking on everybody!","5F10   THE LAST TEMPTATION OF KRUST ","3"
"LISA","You know, Bart, there's so few times in life that you get to feel like a real kid --","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","2"
"LISA","-- but right now, sitting here at the ol' fishin' hole --","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","4"
"LISA","-- with the mud oozing through my wriggling, young toes --","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","5"
"LISA","My brother's using worms but I who feel that the tranquility far outweighs the actual catching of fish, am using nothing.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","5"
"LISA","Well as long as I'm asking something, can I ask him to assauge my fears that he's contaminating the planet in a manner that may one day render it uninhabitable?","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","7"
"LISA","Yes, sir. A very inane one. (SIGHS, THEN, SLOWLY DYING INSIDE) Mr. Burns, your campaign seems to have the momentum of a runaway freight train. Why are you so popular?","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","3"
"LISA","Mr. Burns, I hardly see what destroying our meager possessions is going to accomplish.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","3"
"LISA","Dear prospective cardholder: As a preferred customer, you expect the same high standard of performance from","7F02   SIMPSON AND DELILAH","3"
"LISA","Dad is taking this in a less than heroic fashion.","7F02   SIMPSON AND DELILAH","2"
"LISA","No, Dad. I got an A on my vocabulary test","7F03   BART GETS AN F","2"
"LISA","Well, you're going to have to fail that history test sooner or later.","7F03   BART GETS AN F","8"
"LISA","I heard you last night, Bart. You prayed for this. Now your prayers have been answered. I'm no theologian. I don't know who or what God is exactly. All I know is He's a force more powerful than Mom and Dad put together and you owe him big.","7F03   BART GETS AN F","8"
"LISA","++. and the policeman on the other end of the phone said, ""We have traced the call. It is coming from the floor below you. Get out of the house!"" But","7F04   TREEHOUSE OF HORROR","3"
"LISA","It looks like a vortex -- a gateway into another dimension.","7F04   TREEHOUSE OF HORROR","8"
"LISA","""Quit throwing your garbage into our dimension."" Before anyone can comment on this, there is a terrific amount of CRASHING and WHIRLING noise coming from the living room.","7F04   TREEHOUSE OF HORROR","5"
"LISA","Why are you trying to scare us? Are you trying to keep us from getting close to you... maybe even loving you?","7F04   TREEHOUSE OF HORROR","8"
"LISA","That wasn't scary at all, Bart. Bart holds up small jewelry box.","7F04   TREEHOUSE OF HORROR","2"
"LISA","Look, I know that to you we Simpsons are a lower order of life. We face that prejudice every day of our lives, but we are happy on our little planet. We throw ourselves on your mercy. Please return us to...","7F04   TREEHOUSE OF HORROR","7"
"LISA","Don't you see what's happening here? They're fattening us up so they can eat us. The Simpsons  AD LIB: ""Don't be ridiculous,"" ""Lisa, you and your imagination,"" ""What are you talking about?""","7F04   TREEHOUSE OF HORROR","3"
"LISA","If you don't believe me, look at this book I found. The family quickly glances up at the book.","7F04   TREEHOUSE OF HORROR","5"
"LISA","Well, why were you trying to make us eat all the time?","7F04   TREEHOUSE OF HORROR","3"
"LISA","For your information, I'm about to read you a classic tale of terror by Edgar Allan Poe.","7F04   TREEHOUSE OF HORROR","3"
"LISA","It's called, ""The Raven."" SUPERIMPOSE: ""THE RAVEN"" IN SCARY LETTERING","7F04   TREEHOUSE OF HORROR","5"
"LISA","Once upon a midnight dreary, LISA/V.0O. while I pondered, weak and weary, v.o. Over many a quaint and curious volume ef forgotten lore -- While I nodded, nearly napping, suddenly there came a tapping, We hear a TAP. Homer awakes with a start.","7F04   TREEHOUSE OF HORROR","6"
"LISA","Well, it was written in 1845. Maybe people were easier to scare at that time.","7F04   TREEHOUSE OF HORROR","6"
"LISA","Ah, minor league baseball. The game at its purest. I can't think of a better place to spend a balmy summer's night than the old ballyard. There's just the green grass of the outfield, the crushed brick of the infield, and the white chalk lines that divide the man from the little boy.","7F05   DANCIN HOMER","4"
"LISA","Oh, Bart. Our social skills are not what you think. We're saplings. our young roots have spread in Springfield soil. We can't be transplanted to the harsh frost of Capital City.","7F05   DANCIN HOMER","8"
"LISA","I can't help but feel that if we had gotten to know each other better, my leaving would actually have meant something.","7F05   DANCIN HOMER","8"
"LISA","But I can't go back! Not after I've seen the bright lights of Capital City. I'll wither and die like a hothouse flower.","7F05   DANCIN HOMER","8"
"LISA","Yes, but I'm afraid that the forces of history have changed wrestling, perhaps forever.","7F06   BART THE DAREDEVIL","7"
"LISA","I'll be playing my first solo. If you miss it on Saturday, I'd advise you to start looking for child therapists on Sunday.","7F06   BART THE DAREDEVIL","6"
"LISA","Hey, Mom, who took all the stars off of my exam papers?","7F06   BART THE DAREDEVIL","5"
"LISA","Please, before you do anything, there's someone I'd like you to talk to.","7F06   BART THE DAREDEVIL","3"
"LISA","Mr. Murdock, my brother is thinking about jumping Springfield Gorge on a skateboard.","7F06   BART THE DAREDEVIL","3"
"LISA","At least tell him to wait till he finishes school.","7F06   BART THE DAREDEVIL","3"
"LISA","Lance Murdock, you set a horrible example for the youth of America.","7F06   BART THE DAREDEVIL","3"
"LISA","I'm sorry, Bart. But if you got hurt or died, despite the extra attention I'd receive, I'd miss you.","7F06   BART THE DAREDEVIL","7"
"LISA","Dad, perhaps if you reasoned with hin, used your parental authority, he might be swayed.","7F06   BART THE DAREDEVIL","2"
"LISA","i Dad, this isn't about glue. It's about territoriality. ‘He only wants the glue because I'm using it. If I offered it to him, he wouldn't even want it!","7F07   BART VS THANKSGIVING","8"
"LISA","See? What I'm trying to convey here is that along with the traditional riches of the soil  we should also be thankful for some trailblazing women, whose work enriches our souls... See, there's Georgia O'Keefe... Susan B. Anthony... and this is Marjorie Stoneman Douglas. I'm sure you haven't heard of her, but she worked her whole life to preserve the Florida Everglades.","7F07   BART VS THANKSGIVING","8"
"LISA","As one of the Simpson women, would you like to contribute something to it?","7F07   BART VS THANKSGIVING","2"
"LISA","I couldn't tell you how many hours. It was a labor of love. You see, on this, perhaps the most American of holidays, I wanted to pay homage to some patriots who may not have fought in any wars but who nevertheless... Bart enters, HUMMING a fanfare.","7F07   BART VS THANKSGIVING","6"
"LISA","Baaart! You're wrecking it! LET GO! Without warning, he does, and the unthinkable happens: The centerpiece flies out of Lisa's hands and plops into the fireplace.","7F07   BART VS THANKSGIVING","2"
"LISA","Mom, I poured my heart into the centerpiece! Things like that always happen in this family!","7F07   BART VS THANKSGIVING","2"
"LISA","""I saw the best meals of my generation destroyed by the madness of my brother / Starving, hysterical, naked / My soul carved in slices by spikey-haired demons...""","7F07   BART VS THANKSGIVING","2"
"LISA","Okay, the title of my poem is, ""Howl of the Underappreciated""...","7F07   BART VS THANKSGIVING","5"
"LISA","Look at those other families -- holidays bring them closer.","7F07   BART VS THANKSGIVING","8"
"LISA","Welcome back. Bart, I'm sorry we had such a terrible fight.","7F07   BART VS THANKSGIVING","2"
"LISA","Oh, Bart. I've been coming up here for years. See?  That's my candle wax!","7F07   BART VS THANKSGIVING","2"
"LISA","The thing that really hurt was the laughter. Or I should say the sadistic glee.","7F07   BART VS THANKSGIVING","8"
"LISA","Just answer one question. Why did you do it? Because you hate me, or because","7F07   BART VS THANKSGIVING","2"
"LISA","Okay. I'11 tell you what. Since you have yet to develop the first glimmer of a conscience at the age of ten, I think you should have an advisor...","7F07   BART VS THANKSGIVING","2"
"LISA","Someone who could tell you when you're going too far... like Jiminy Cricket did for Pinocchio.","7F07   BART VS THANKSGIVING","8"
"LISA","Hey, I call the wishbone! She pulls it out of the turkey carcass.","7F07   BART VS THANKSGIVING","5"
"LISA","If we both wish for the same thing, then it's sure to happen. l","7F07   BART VS THANKSGIVING","8"
"LISA","And I'm studying for the Math Fair. If I win one of the awards, I'll bring home a brand new protractor.","7F08   DEAD PUTTING SOCIETY","6"
"LISA","Well, a blockaded bishop can be of little or no value, but I think you're referring to a pawn.","7F08   DEAD PUTTING SOCIETY","5"
"LISA","I know. It's times like this that I'm thankful Dad has little to no interest in almost everything I do. Bart, I think I can help you.","7F08   DEAD PUTTING SOCIETY","7"
"LISA","I know that, like any other game, it's ten percent skill and ninety percent will. Come with me, Bart.","7F08   DEAD PUTTING SOCIETY","8"
"LISA","There are books here that can make you a champion.","7F08   DEAD PUTTING SOCIETY","5"
"LISA","Ah, here's the most important book of all, The Tao Te Ching by Lao Tzu.","7F08   DEAD PUTTING SOCIETY","8"
"LISA","The left brain is logical, the right brain emotional and artistic. Success at any sport requires a partnership of the two halves. Each of us must do the work of one half the brain.","7F08   DEAD PUTTING SOCIETY","5"
"LISA","I want you to shut off the logical part of your mind.","7F08   DEAD PUTTING SOCIETY","8"
"LISA","Bart! You're just pretending to know what I'm talking about.","7F08   DEAD PUTTING SOCIETY","2"
"LISA","Bart, I have a riddle for you: What's the sound of one hand clapping?","7F08   DEAD PUTTING SOCIETY","2"
"LISA","No, Bart. It's a three-thousand-year- old riddle with no answer.","7F08   DEAD PUTTING SOCIETY","2"
"LISA","Bart, the riddle is unsolvable. It's to clear your mind of conscious thought. Let's try another one. Listen carefully. If a tree falls in the woods and no one's around, does it make a sound?","7F08   DEAD PUTTING SOCIETY","2"
"LISA","Wait. How can a sound exist if there's no one there to hear it?","7F08   DEAD PUTTING SOCIETY","8"
"LISA","The basis of this game seems to be simple geometry. All you have to do is","7F08   DEAD PUTTING SOCIETY","8"
"LISA","When his feet come together, wait five seconds and hit the ball.","7F08   DEAD PUTTING SOCIETY","5"
"LISA","Mom, Bart is ona strict diet of complex carbohydrates. Steak will make him logy.","7F08   DEAD PUTTING SOCIETY","2"
"LISA","Dad, do you know what the biggest obstacle is to Bart playing well?","7F08   DEAD PUTTING SOCIETY","2"
"LISA","You've staked this entire family's self-esteem on the shoulders of a ten- year-old boy. The only way he can win is if you tell him it's okay to lose.","7F08   DEAD PUTTING SOCIETY","2"
"LISA","No, Dad. If you tell him to win, he'll lose.","7F08   DEAD PUTTING SOCIETY","2"
"LISA","Bart, having never received any words of encouragement myself, I'm not sure how they're supposed to sound. But here goes. I believe in you.","7F08   DEAD PUTTING SOCIETY","2"
"LISA","Why do I get the feeling that someday I'll be describing this to a psychiatrist?","7F08   DEAD PUTTING SOCIETY","8"
"LISA","But, Mom! If you take our cartoons away, we'll grow up without a sense of humor and be robots.","7F09   ITCHY & SCRATCHY & MARGE","2"
"LISA","And I'm going over to Janey's again. We're going to be... um... making the most of our childhood years.","7F09   ITCHY & SCRATCHY & MARGE","3"
"LISA","I think all of this is just a charade to make Bart look more injured than he really is.","7F10   BART GETS HIT BY A CAR","2"
"LISA","But we're lying as well as contributing to the overcrowded court rooms of our overly litigious society.","7F10   BART GETS HIT BY A CAR","8"
"LISA","Do I have to get on the rollercoaster again? I know that for every giddy, Simpson up, there's a stomach-churning plunge into the abyss.","7F10   BART GETS HIT BY A CAR","8"
"LISA","Bart, my birthday is in two days. I/m going to be eight years old. It’s a big number -- almost double digits.","7F24   STARK RAVING DAD","2"
"LISA","Bart, will you please let me pour ny little heart out?","7F24   STARK RAVING DAD","7"
"LISA","Bart, I have very few people in my life who truly seem to care for me. I need an occasional sign from you that you too are aware that we have the same dubious genes coursing through our veins.","7F24   STARK RAVING DAD","2"
"LISA","Bart, I do so much for you and yet you have disappointed me on every one of my birthdays. Okay, okay! Okay, okay. I/11 get I’ve made things for you.","7F24   STARK RAVING DAD","2"
"LISA","Well, all right -- if you listen to the poem I just wrote.","7F24   STARK RAVING DAD","2"
"LISA","I had a cat named Snowball -- She died, she died! Mom said she was sleeping -- She lied, she lied! Why oh why is my cat dead? Couldn’t that Chrysler hit me, instead? I had a hamster named Snuffy -- He died, --","7F24   STARK RAVING DAD","3"
"LISA","Bart, let me rephrase the question. Does this birthday-themed cartoon remind you of --","7F24   STARK RAVING DAD","2"
"LISA","Bart, we‘ve always wondered which of us is Dad’s favorite. But now I’d have to say, it’s the one of us who didn’t get him institutionalized.","7F24   STARK RAVING DAD","2"
"LISA","Happy birthday to me / Happy birthday to me / Happy birthday, overlooked middle child -- Happy birthday to me.","7F24   STARK RAVING DAD","1"
"LISA","Bart, the entire town is howling for your blood, and before I join them I have one question. Today’ is my birthday -- did you get me anything? I’m afraid to ask.","7F24   STARK RAVING DAD","1"
"LISA","Although I am aware you are looking at me, I would look exactly the same even if you weren’t.","7F24   STARK RAVING DAD","1"
"LISA","Bart, oh Bart. This is the best present I ever got. The PAPERBOY, delivering the Springfield Shopper with the headline, “Michael Jackson Hoax -- Everyone Mad At Local Boy"" with a photo of Bart, stops to listen to the song and smiles. Homer proudly holds up his ""NOT INSANE""","7F24   STARK RAVING DAD","2"
"LISA","Awww, Dad. BaRL Awww... Homer! Homer daintily SUCKS on the tips of each finger while Marge glares at him. Homer takes Marge's cup of coffee from her saucer, which she's been holding throughout the scene, and","7G01   SOME ENCHANTED EVENING","2"
"LISA","We got money! Bart and Lisa race out the door and SLAM it behind then. (NOTE: As they race out, the Simpsons' black cat,","7G01   SOME ENCHANTED EVENING","2"
"LISA","One eight hundred you tattle, no wait, you snitch, no, you squeal... She finishes dialing. SFX: BUSY SIGNAL.","7G01   SOME ENCHANTED EVENING","5"
"LISA","I'm calling to * report the Babysitter Bandit. She's in our house right --","7G01   SOME ENCHANTED EVENING","3"
"LISA","Maggie, wanna watch ""The Happy Little Elves"" again? Maggie nods and brings the remote control to Lisa.","7G01   SOME ENCHANTED EVENING","2"
"LISA","We caught her! We caught the Babysitter Bandit! She's tied up at our house right now!","7G01   SOME ENCHANTED EVENING","3"
"LISA","Is there a reward? If she's convicted we get T-shirts.","7G01   SOME ENCHANTED EVENING","5"
"LISA","Yeah, Bart. You're supposed to be developing verbal abilities for your big aptitude test tomorrow.","7G02   BART THE GENIUS","2"
"LISA","""Id. Along with the ego and the superego, one of three components of the psyche.""","7G02   BART THE GENIUS","8"
"LISA","I don't care what that stupid test says, Bart. You're a dimwit.","7G02   BART THE GENIUS","8"
"LISA","We were fighting over which one of us loves you more. Homer SNIFFLES. There is a tear in his eye.","7G04   THERE'S NO DISGRACE LIKE HOME","2"
"LISA","Hey! Last one in the fountain is a rotten egg! Bart and Lisa run off.","7G04   THERE'S NO DISGRACE LIKE HOME","2"
"LISA","Why can't we have a meeting when you're watching TV?","7G04   THERE'S NO DISGRACE LIKE HOME","2"
"LISA","You're sending us to a doctor who advertises on pro wrestling?","7G04   THERE'S NO DISGRACE LIKE HOME","3"
"LISA","Dad, I get good grades 'cause I'm smart and I pay attention and I study hard.","7G05   BART THE GENERAL","1"
"LISA","Here, Otto, I made an extra one for you. Lisa hands a cupcake to Otto. oTTo Oh, thanks, little lady.","7G05   BART THE GENERAL","3"
"LISA","Open your mouth, and close your eyes, and you will get a big surprise. Bart does so. Lisa gets up to move to another seat. As she picks up the box of cupcakes, one of them falls to the floor. She reconsiders, and then puts the cupcake from the floor into Bart's mouth.","7G05   BART THE GENERAL","2"
"LISA","Look, Janey, cupcakes, Janey looks into the box. Suddenly a small weasely Peter Lorre-type KID  appears between the two girls and grabs the box.","7G05   BART THE GENERAL","3"
"LISA","Hey, everybody. Here comes my brother, Bart the bully- killer!","7G05   BART THE GENERAL","2"
"LISA","Bart, here's that cupcake you wanted. I can't help but think if I had just given it to you in the first place, this whole horrible tragedy could have been avoided. I know you can't eat it now, so I'll just place it lovingly on your forehead. (LISA PLACES CUPCAKE ON","7G05   BART THE GENERAL","8"
"LISA","He'll give you good advice. He's the toughest Simpson alive.","7G05   BART THE GENERAL","2"
"LISA","Yeah, remember the fight he put up when we put him in the home?","7G05   BART THE GENERAL","4"
