"character","dialogue","episode","annotation"
"MARGE","No. I won’t make a spectacle out of myself any further. Marge puts her hands on her hips and glares at Homer. A pocket springs loose and gumballs flow forth like a fountain. People look at Marge.","2F06   HOMER BADMAN","1"
"MARGE","I’m sure she’ll turn up. Take the baby- sitter home now. She’s been sitting in the car for twenty minutes.","2F06   HOMER BADMAN","3"
"MARGE","Well why don’t we give it to some needy children, then?","2F06   HOMER BADMAN","8"
"MARGE","At any rate, I think you should go outside and straighten this out. And be nice, or it could turn ugly.","2F06   HOMER BADMAN","8"
"MARGE","I already talked to the Indignation Coordinator out on the lawn today. I told her you were a decent man. But she wouldn’t listen. Besides standing by you and supporting you, there isn’t","2F06   HOMER BADMAN","3"
"MARGE","Homer, that’s your solution to everything, to move under the sea. It’s not gonna happen.","2F06   HOMER BADMAN","2"
"MARGE","a can dress it up a bit. We can bring a fern... a folding chair from the garage... And the most decorative thing of all: the truth.","2F06   HOMER BADMAN","5"
"MARGE","You’know, the courts might not work hone but as long as everybody is","2F06   HOMER BADMAN","8"
"MARGE","fasn’t this experience taught you you can’t believe everything you hear?","2F06   HOMER BADMAN","8"
"MARGE","I’m happy for the school. It sounds like this money is gonna provide a lot of new opportunities.","2F16   WHO SHOT MR. BURNS","4"
"MARGE","Your father and I own all his albums, even ""A Mambo Memorial for President","2F16   WHO SHOT MR. BURNS","3"
"MARGE","I have an idea. When my father was first trying to catch my mother’s eye, he sent her a box of candy with his photo in it. After that, she never forgot hin.","2F16   WHO SHOT MR. BURNS","3"
"MARGE","No, she did not, Mr. Smartypants. She thought his name was Russell Stover.","2F16   WHO SHOT MR. BURNS","3"
"MARGE","I must say Mr. Burns is being awfully inconsiderate. Selfish, even.","2F16   WHO SHOT MR. BURNS","3"
"MARGE","Bart! Put that down! Guns are very dangerous, and I won’t have them in this house.","2F16   WHO SHOT MR. BURNS","2"
"MARGE","I’m going to bury it in the backyard where little hands can’t get to it.","2F16   WHO SHOT MR. BURNS","8"
"MARGE","I don’t think we’ll ever know who did this. Everyone in town’s a suspect.","2F16   WHO SHOT MR. BURNS","3"
"MARGE","The police already have a suspect. It’s Mr. Smithers. everyone considers this.","2F20   WHO SHOT MR. BURNS 2","3"
"MARGE","TI think you’re a little young to be investigating an attempted murder. Why don’t you try to solve the mystery of who put that mud in the freezer?","2F20   WHO SHOT MR. BURNS 2","8"
"MARGE","Grampa, I found your cigar box dug up in the backyard, but the gun wasn’t there. Have you seen it?","2F20   WHO SHOT MR. BURNS 2","5"
"MARGE","I was just asking if you’d seen it. There’s no need to be a prickly pear.","2F20   WHO SHOT MR. BURNS 2","8"
"MARGE","The police have such a strong case against Homer. Mr. Burns said he did it, they have Homer’s","2F20   WHO SHOT MR. BURNS 2","2"
"MARGE","No. No, no. When I took your father’s name, I took everything that came with it, including D.N.A.","2F20   WHO SHOT MR. BURNS 2","2"
"MARGE","No. We can’t start thinking that way about our own family members.","2F20   WHO SHOT MR. BURNS 2","2"
"MARGE","Oh, my goodness! I just pray he comes here before any of those lunatics find him. The doorbell RINGS. Bart answers it to reveal Patty and Selma. Patty is wearing night-vision goggles, and Selma is carrying a crate labelled ""TRANQUILIZER DARTS.""","2F20   WHO SHOT MR. BURNS 2","7"
"MARGE","Here’s your toast, Maggie. I Melba- . fied it myself.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"MARGE","Oh, Lisa, honey, I tracked down those old newspapers for your history project. She indicates a stack of yellowed newspapers. The top : headline reads: ""AMERICA LOVES TED KENNEDY,"" with a photo of a slim, young, cheerful TED.KENNEDY.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","5"
"MARGE","kkk Bart, it’s class phos day. No dracula | fangs.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","6"
"MARGE","No they didn’t. And put on this tie. It picks up the color of your eyes.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","5"
"MARGE","Now, keep the lettuce separate until 11:30.  That way, the lettuce stays moist..and the bread stays dry! ©  Eh?) Eh?","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","5"
"MARGE","Enjoy it now, because when you're a grown up, you'll have to take care of yourself.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","8"
"MARGE","Homie, this is so sweet. But I can’t possibly go now... the sink is full of dirty dishes, the trash needs to be.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"MARGE","Squalid hell hole... toilet paper hung in improper overhand fashion... Dogs mating on dining room","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","8"
"MARGE","We've always tried to be good parents. Please, I’m begging you, one mother to another -- you must have a family. No, I don’t care for children. Marge sits, defeated. Homer jumps up.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","3"
"MARGE","...and then I saw my boy-in.a burlap sack and they told ' me he had lice!  |","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"MARGE","I miss the way Bart would say something and then say ""dude.""","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","2"
"MARGE","The only thing I’m high on is love. Love for my son and daughters. Yes, a Little *heS2De"" ds ail Tt need.","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","7"
"MARGE","- Where we going? Where we going? Okay, okay, don’t panic. To find ‘Flanders, I just have to think like","3F01   HOME SWEET HOMEDIDDLY DUM DOODILY","3"
"MARGE","These monsters are destroying everything and everyone we hold dear! And you kids should have jackets on. Lisa notices one of Lard Lad’s footprints and walks over.","3F04   TREEHOUSE OF HORROR VI","2"
"MARGE","Kids, it’s time we told you the true story and put your fears to rest. It’s a story of murder and . revenge from beyond the grave. The kids look hopeful.","3F04   TREEHOUSE OF HORROR VI","2"
"MARGE","It all started on the thirteenth hour of the thirteenth day of the thirteenth month. We were there to discuss the misprinted calendars the school had purchased.","3F04   TREEHOUSE OF HORROR VI","4"
"MARGE","What's mommy making? Apples... Walnuts... Raisins... Maggie reaches eagerly into the bowl.","3F04   TREEHOUSE OF HORROR VI","1"
"MARGE","Unh, unh, unh. It’s not fit to eat without the wholesome kiss of mayonnaise.","3F04   TREEHOUSE OF HORROR VI","8"
"MARGE","Homer? Get ready. Patty and Selma will be here any minute.","3F04   TREEHOUSE OF HORROR VI","6"
"MARGE","(O Do you see towels? If you see towels, you’re probably in the linen closet again.","3F04   TREEHOUSE OF HORROR VI","4"
"MARGE","Are you saying what I think you're saying, Professor Frink?","3F04   TREEHOUSE OF HORROR VI","3"
"MARGE","Boy, it sure would be fun to carpool in one of those, huh, kids?  I'd be a real hot-rod mama, wouldn't I? Huh? Huh?","3F14   HOMER THE SMITHERS","5"
"MARGE","Don't be nervous, Homer. Assisting Mr. Burns could give your career a real shot in the arn.","3F14   HOMER THE SMITHERS","7"
"MARGE","Homie, it's 4:30 in the morning. Did you have that nightmare about the smelly horse again?","3F14   HOMER THE SMITHERS","2"
"MARGE","Kids, stop exploiting your father. Homie, why don't you lie down and relax.","3F14   HOMER THE SMITHERS","2"
"MARGE","Simpson! Lie down! Homer obediently falls back onto the couch.","3F14   HOMER THE SMITHERS","2"
"MARGE","Okay. Okay. Okay. Okay. Maybe everything's all right. Maybe if you go apologize, he won't even fire you. If he's alive.","3F14   HOMER THE SMITHERS","8"
"MARGE","Let's just hope he remains gruntled and doesn't come back and hurt someone.","3F14   HOMER THE SMITHERS","7"
"MARGE","You know what? I bet Ned Flanders could use a right-hand man over at the Leftorium. Why don't you try there?","3F14   HOMER THE SMITHERS","3"
"MARGE","Well, we’d better start our Love Day clean-up. You kids take care of the eee paper. I’m going to dismantle Love Land.","5F09   TRASH OF THE TITANS","6"
"MARGE","Oh lord! Now what are we going to do? Just let the trash pile up?","5F09   TRASH OF THE TITANS","7"
"MARGE","Homer, that crazy lady who lives in our. trash pile attacked me again.","5F09   TRASH OF THE TITANS","3"
"MARGE","Homer, this has gone far enough. Will you please just apologize to the garbagemen?","5F09   TRASH OF THE TITANS","7"
"MARGE","Oh Homer, you didn’t beat City Hall! They picked up our trash because I wrote a letter of apology to the Sanitation Commissioner and signed your name. Period.","5F09   TRASH OF THE TITANS","8"
"MARGE",". teal You’re running for Sanitation Commissioner? What about your plans to","5F09   TRASH OF THE TITANS","2"
"MARGE","We’re all proud of you, Homie, but I hope you’re not putting too much Ss eeteuee oa yourself. |","5F09   TRASH OF THE TITANS","2"
"MARGE","How could you spend four point six million dollars in a month?","5F09   TRASH OF THE TITANS","8"
"MARGE","Good God, Homer! You're turning our wonderful little town into America’s trash-hole.","5F09   TRASH OF THE TITANS","4"
"MARGE","Moving the whole town five miles down the road! It’s crazy!","5F09   TRASH OF THE TITANS","4"
"MARGE","Qoo, look! This is a perfect chance to get you kids some nice church shoes.","5F10   THE LAST TEMPTATION OF KRUST ","2"
"MARGE","Oh look, Homer. There’s that bird you like to argue","5F10   THE LAST TEMPTATION OF KRUST ","2"
"MARGE","They need a good, stiff, all-purpose dress shoe. Something for church, but also for doctors appointments, (OVER KIDS’ GLAZED EXPRESSIONS) dental check-ups, piano recitals, building dedications, visiting elderly relatives, altar boy classes, haircuts...","5F10   THE LAST TEMPTATION OF KRUST ","5"
"MARGE","Well, I think the disco manager will have something to say about that.","5F10   THE LAST TEMPTATION OF KRUST ","3"
"MARGE","I wonder if he's going to say anything about that horrible fish.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","5"
"MARGE","Certainly not. Mary Bailey is the best governor this state has ever had.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","3"
"MARGE","Homer, I will not sacrifice my beliefs so that you can suck up to your boss. Homer rises.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","2"
"MARGE","It's about whether we are going to have clean water.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","5"
"MARGE","Well I think the non-card question is a valid one.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","8"
"MARGE","I don't want to snuggle with anybody who's not letting me express myself.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","8"
"MARGE","I'm sorry, dear but it will all be over soon.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","7"
"MARGE","Lisa, you're learning many lessons tonight and one of them is to always give your mother the benefit of the doubt.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","2"
"MARGE","When a man's dreams are seconds on dessert, occasional snuggling and sleeping till eleven o'clock on weekends, no man can destroy them.","7F01   TWO CARS IN EVERY GARAGE AND THREE EYES ON EVERY FISH","8"
"MARGE","He's much happier at work and, just between us girls... well, he hasn't been this frisky in years. Selma SNORTS.","7F02   SIMPSON AND DELILAH","7"
"MARGE","Don't worry, Homer. This year you have an excuse for not remembering, what","7F02   SIMPSON AND DELILAH","2"
"MARGE","Homer, between your hair care products and new wardrobe, we're not putting anything away. Can't we save something for a rainy day?","7F02   SIMPSON AND DELILAH","2"
"MARGE","Homer, I don't want you to ever feel that you have to change anything about yourself for my sake. I love you just the way you are. Homer kisses Marge.","7F02   SIMPSON AND DELILAH","7"
"MARGE","Thank you, Homer. Lisa, did you tell your father your good news?","7F03   BART GETS AN F","2"
"MARGE","The little tiger tries so hard. Why does he keep failing?","7F03   BART GETS AN F","8"
"MARGE","Bart, honey... you're going to miss your bus! Bart wakes up, stretches and YAWNS.","7F03   BART GETS AN F","2"
"MARGE","Well, maybe it would help him to be left back. It won't be so bad, Bart.","7F03   BART GETS AN F","8"
"MARGE","Hello, everyone. You know, Halloween is a very strange holiday. Personally, I don't understand it. Kids worshiping ghosts, pretending to be devils, and things on","7F04   TREEHOUSE OF HORROR","8"
"MARGE","Well, he certainly must have been motivated. Prime location, eighteen bedrooms, moat... we shouldn't be able to afford this.","7F04   TREEHOUSE OF HORROR","4"
"MARGE","Hmmm. This kitchen certainly could use a woman's touch. In the corner she sees a SWIRLING orange-green vortex.","7F04   TREEHOUSE OF HORROR","4"
"MARGE","I'm not going to live in a house of evil just to save a few dollars.","7F04   TREEHOUSE OF HORROR","8"
"MARGE","I'm in the kitchen, Homer! Homer hears a NOISE. Bart, Lisa and Maggie are all making their way across the hallway. Bart has a meat cleaver in his hand. Lisa is following him with a butcher knife. Maggie is crawling down after them, a penknife between her teeth like a baby pirate. Homer turns and begins stalking them. The four of them begin slowly circling each other.","7F04   TREEHOUSE OF HORROR","4"
"MARGE","What's going on out here? Homer! Bart! Lisa! Maggie! Stop it! All four stop, turn to look at her. After a few seconds their faces relax and they look normal again. They look sheepishly at each other. Sorry... sorry, mom... sorry Maggie... sorry Lisa. That's okay.","7F04   TREEHOUSE OF HORROR","2"
"MARGE","Shut up! Quit trying to push us around. Stop saying those horrible things and show some manners.","7F04   TREEHOUSE OF HORROR","8"
"MARGE","Oh, don't call me lady. My name is Marge Simpson, this is my family and we're not going anywhere. We're all going to have to live together, so you better get used to it... please.","7F04   TREEHOUSE OF HORROR","1"
"MARGE","Look, Homer! Radish rosettes. These are hard to make. They area very advanced race.","7F04   TREEHOUSE OF HORROR","5"
"MARGE","Lisa, see what we mean when we say you're too smart for your own good?","7F04   TREEHOUSE OF HORROR","8"
"MARGE","Homer, I am not sleeping with the lights on. They're just children's stories. They can't hurt you. Marge reaches over and turns the lights off.","7F04   TREEHOUSE OF HORROR","2"
"MARGE","I hope you'll space out the tubs this year, Homer.","7F05   DANCIN HOMER","7"
"MARGE","Well, last year you got a little rambunctious and mooned the poor umpire.","7F05   DANCIN HOMER","8"
"MARGE","Well, I thought these ballplayers were supposed to set an example for children. Bart, give me that ball!","7F05   DANCIN HOMER","8"
"MARGE","Did the team ask you to dress like that, Homer?","7F05   DANCIN HOMER","2"
"MARGE","Well, you'll be able to write to your old friends and you'll make new friends, so you'll end up having twice as many.","7F05   DANCIN HOMER","8"
"MARGE","Now wait a minute, Homer. I'd be lying if I didn't say that this scares me a little. But we all have a calling, a reason The Almighty put us on this Earth. And yours might be to dance on dugouts.","7F05   DANCIN HOMER","8"
"MARGE","Well, we have one quick stop and then it's on to Capital City.","7F05   DANCIN HOMER","4"
"MARGE","I want you to remember something, Homer. Big city, small town; it makes no difference. Once they walk into that stadium they're complete yahoos. He considers, nods, then gives Marge a hug.","7F05   DANCIN HOMER","3"
"MARGE","Let's see. Upper, upper, upper mezzanine. Seats 50,001, 50,002, and 50,003. Yes, these must be then.","7F05   DANCIN HOMER","4"
"MARGE","All right, but just remember -- This is the only father you'll ever have.","7F05   DANCIN HOMER","2"
"MARGE","Now stop it you two. And don't look too down. I'm sure this is hard enough for your father.","7F05   DANCIN HOMER","7"
"MARGE","Now, now, Homer. The way I see it is if you really were nothing but a big buffoon, we'd still be in Capital City.","7F05   DANCIN HOMER","2"
"MARGE","Now, come on, you two. Lisa's recital starts at five o'clock and the truck rally starts at eight. We can go to both.","7F06   BART THE DAREDEVIL","2"
"MARGE","We really appreciate the insurance company sending you out here like so quickly.","7F06   BART THE DAREDEVIL","7"
"MARGE","He's a forty-four, but don't tell him I told you.","7F06   BART THE DAREDEVIL","2"
"MARGE","Yes, well, we saw a daredevil last night and well, you know, monkey see, monkey do.","7F06   BART THE DAREDEVIL","8"
"MARGE","Gee, I never realized TV was such a dangerous influence.","7F06   BART THE DAREDEVIL","7"
"MARGE","I don't know. Sometimes your brother takes things that don't belong to hin.","7F06   BART THE DAREDEVIL","2"
"MARGE","Out of the question. No son of mine is jumping over any gorge.","7F06   BART THE DAREDEVIL","2"
"MARGE","Now, just wait a second. Son, do you know what a promise is? It's a sacred oath. I know it may seem cool to risk your life, but nothing is cooler than a young man who keeps his word to his parents. Do you understand what I'm saying?","7F06   BART THE DAREDEVIL","2"
"MARGE","Well, okay. Let's see... Can you do the cranberry sauce?","7F07   BART VS THANKSGIVING","5"
"MARGE","The can is in the cupboard on the bottom shelf.  No, the other shelf. It says ""cranberry sauce.""","7F07   BART VS THANKSGIVING","5"
"MARGE","Oh, honey, You're using the bad one. Here, let me do it... Marge reaches into frame, taking the can of cranberry sauce. We HEAR her quickly open the can and then hand it back to Bart. He then removes the top, PLOPPING the contents into a waiting dish.","7F07   BART VS THANKSGIVING","2"
"MARGE","Just stick it in the refrigerator when you're done. Bart. Bart?","7F07   BART VS THANKSGIVING","5"
"MARGE","Now, just wait a minute! I'm sure there's room for both. Balancing the platter with one hand, Bart grabs the centerpiece and tries to move it. Lisa immediately grabs the other end and a tug-of-war ensues.","7F07   BART VS THANKSGIVING","8"
"MARGE","Yes you do! I hope you're happy, Bart! You've RUINED THANKSGIVING! The words hit Bart like lawn darts.","7F07   BART VS THANKSGIVING","2"
"MARGE","I've noticed that, too. Well, when you feel like coming down, we'll be there. Marge exits.","7F07   BART VS THANKSGIVING","8"
"MARGE","Bart, you can come down to dinner as soon as you're ready to apologize to your sister. And it's going to be a real apology in front of evrybody, and you have to mean it.","7F07   BART VS THANKSGIVING","2"
"MARGE","Bart, you apologize to the nice Wampanoag man. Right now!","7F07   BART VS THANKSGIVING","2"
"MARGE","Homer, turn down the TV. Lisa wants to read us something she's written.","7F07   BART VS THANKSGIVING","2"
"MARGE","It's Bart! Marge runs to the TV and turns up the SOUND.","7F07   BART VS THANKSGIVING","2"
"MARGE","Of course we are! I have a feeling he'll walk through that door any minute now.","7F07   BART VS THANKSGIVING","7"
"MARGE","Bart? You're home! Homer, Bart's home! Marge scrambles down the stairs and hugs Bart.","7F07   BART VS THANKSGIVING","2"
"MARGE","Oh, my special little guy! We were so worried! Homer comes down the stairs with Maggie. Homer hugs Bart.","7F07   BART VS THANKSGIVING","2"
"MARGE","Shhhh! He and Lisa are making up. And if they don't fall and kill themselves, we might have a family again.","7F07   BART VS THANKSGIVING","2"
"MARGE","Ready, Maggie? One... two... three! In one smooth motion, Marge yanks the pacifier out of Maggie's mouth and replaces it with the bottle. Maggie doesn't miss a SUCK.","7F07   BART VS THANKSGIVING","2"
"MARGE","Now, now, Homer. Bart's busy working on his science project.","7F08   DEAD PUTTING SOCIETY","2"
"MARGE","Well, how did he say it? Was he angry? Was he rude?","7F08   DEAD PUTTING SOCIETY","7"
"MARGE","Homer, as your best friend, I've seen you bad-mouth Ned Flanders for years and, frankly, I've never seen him be anything but a perfect neighbor.","7F08   DEAD PUTTING SOCIETY","3"
"MARGE","I think it's terrible. A man opens his heart and you make fun of him. Marge leaves the roon.","7F08   DEAD PUTTING SOCIETY","7"
"MARGE","Now, just a minute. There are some things about the Flanders family that I wish we had around this house.","7F08   DEAD PUTTING SOCIETY","3"
"MARGE","Well, I'm worried that you're making too big a deal of this silly little kiddie golf tournament.","7F08   DEAD PUTTING SOCIETY","7"
"MARGE","Well, I'm sure it is, but why do we want to do that?","7F08   DEAD PUTTING SOCIETY","8"
"MARGE","""The father of the boy who doesn't win has to mow the lawn in his wife's Sunday dress."" Now I suppose you both have to sign this. I hope","7F08   DEAD PUTTING SOCIETY","5"
"MARGE","You know, Homer has many fine qualities. He looks like a baby when","7F08   DEAD PUTTING SOCIETY","2"
"MARGE","A dash of rosemary, a smidgen of thyme, a pinch of marjoram...","7F09   ITCHY & SCRATCHY & MARGE","5"
"MARGE","Oh now, Homer, they're nothing special. The extra ingredient is care. Marge continues spicing the pork chops.","7F09   ITCHY & SCRATCHY & MARGE","2"
"MARGE","Where would an innocent child get the idea to attack her father with a mallet?","7F09   ITCHY & SCRATCHY & MARGE","2"
"MARGE","So, that's where she gets it! No, Maggie! Bad baby! Marge turns off the TV. We were watching that!","7F09   ITCHY & SCRATCHY & MARGE","2"
"MARGE","I wonder why Bart and Lisa are so late getting home from school?","7F09   ITCHY & SCRATCHY & MARGE","2"
"MARGE","I'm cataloguing the violence in these cartoons. I don't think adults have ever actually sat down and watched them before.","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","What kind of warped human being would find that funny?","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","This is the kind of entertainment they think is suitable for younger and more impressionable viewers?","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","I'll tell you what I'm going to do. I'm going to put a stop to it.","7F09   ITCHY & SCRATCHY & MARGE","1"
"MARGE","Right now.  Homer, I'm going to write a letter. Marge goes over to the desk and sits down. She takes out a","7F09   ITCHY & SCRATCHY & MARGE","2"
"MARGE","SceNE*y ""Dear Purveyors of Senseless Violence: JI know this may sound silly","7F09   ITCHY & SCRATCHY & MARGE","3"
"MARGE","""... but I believe that the cartoons you show to our children are influencing their behavior in a negative way...""","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE",""",.. in your otherwise fine programming. Yours truly, Marge Simpson.""","7F09   ITCHY & SCRATCHY & MARGE","1"
"MARGE","Well, I've never changed the world before, so I don't know how long it takes exactly. But if enough people take an interest...","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","GonT'd) It stands for ""Springfieldians for Nonviolence, Understanding and Helping."" I've started a crusade against cartoon violence. I can protect my own children, but there are many others whose minds are being warped every afternoon at four. Bart hears this and looks at his watch.","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","And what happens when a child grows up with insanely","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","No.  I'm sorry about the dinners. I'll make up for it tomorrow night.","7F09   ITCHY & SCRATCHY & MARGE","7"
"MARGE","Oh, no. I can't. I've got three protest rallies tomorrow.","7F09   ITCHY & SCRATCHY & MARGE","6"
"MARGE","So much needless brutality. I don't know if I'm having any impact at all. Marge looks at the TV, pencil poised.","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","What is it? What? ""Smartline?"" Yes, I've heard of your late-night panel discussion show. I'd love to. She SLAMS down the phone.","7F09   ITCHY & SCRATCHY & MARGE","7"
"MARGE","Yes. I'd like to ask all the parents in Springfield who are concerned about this to write in and let the cartoon makers know how you feel. Thank you.","7F09   ITCHY & SCRATCHY & MARGE","3"
"MARGE","consti) Well... let's see... couldn't Itchy share his food with Scratchy? Then they would both have food.","7F09   ITCHY & SCRATCHY & MARGE","3"
"MARGE","Bart! Lisa! An art treasure is coming here. Michelangelo's David!","7F09   ITCHY & SCRATCHY & MARGE","5"
"MARGE","I'm not. I think everyone in Springfield should see it.","7F09   ITCHY & SCRATCHY & MARGE","3"
"MARGE","Well... I guess I can't, which is a shame because I really hate those cartoons. (THINKS AGAIN. THEN SIGHS) I guess I was wrong. Not completely wrong, just wrong enough to be terribly embarrassed.","7F09   ITCHY & SCRATCHY & MARGE","7"
"MARGE","I don't know, Homer. The world's just so confusing. One person can make a difference, but most of the time, probably shouldn't.","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","Too skinny. Not my type at all. They both smile.","7F09   ITCHY & SCRATCHY & MARGE","8"
"MARGE","Oh, Bart! We thought for a minute you'd gone away from us.","7F10   BART GETS HIT BY A CAR","2"
"MARGE","Mr. Hutz, this is hardly the time or place to discuss this.","7F10   BART GETS HIT BY A CAR","3"
"MARGE","Is he well enough for me to start mothering him unbearably, doctor?","7F10   BART GETS HIT BY A CAR","2"
"MARGE","I'm sorry, boys, but I'm afraid Bart can't come out and play today.","7F10   BART GETS HIT BY A CAR","2"
"MARGE","I'm sorry. You'll have to wait and see Bart when he's better.","7F10   BART GETS HIT BY A CAR","2"
"MARGE","Well, maybe Lisa does have a point, Homer. I mean Dr. Hibbert has been our family physician for years and he","7F10   BART GETS HIT BY A CAR","2"
"MARGE","Well then, can't we just get reimbursed for our medical bills?","7F10   BART GETS HIT BY A CAR","8"
"MARGE","I don't know, maybe we should take his million dollars and put all this ugliness behind us.","7F10   BART GETS HIT BY A CAR","8"
"MARGE","Well, then I don't know, Homer. Maybe we should just let the jury decide.","7F10   BART GETS HIT BY A CAR","8"
"MARGE","Remember that story on the news about the man who won the lottery and now he's working in a pizzeria?","7F10   BART GETS HIT BY A CAR","3"
"MARGE","Homer, I brought up that poor man from the news because I think we might be making the same mistakes he did.","7F10   BART GETS HIT BY A CAR","3"
"MARGE","Homer, that's the wisest thing you've ever said. The DOORBELL RINGS. Lisa goes to answer it. A PIZZA stands there with a huge pizza box that is dripping cheese over the sides.","7F10   BART GETS HIT BY A CAR","8"
"MARGE","Bart, I want you to watch Maggie while I get the laundry.","7F24   STARK RAVING DAD","2"
"MARGE","Now Homer, don’t panic. You have Plenty of white shirts.","7F24   STARK RAVING DAD","7"
"MARGE","Homer, please. No one’s going to notice if you wear a pink shirt to work.","7F24   STARK RAVING DAD","8"
"MARGE","Homer, this is an intimate psychological profile. I can’t fill","7F24   STARK RAVING DAD","2"
"MARGE","I told you kids you were going to send your father to the crazy house.","7F24   STARK RAVING DAD","2"
"MARGE","Doctor, if you just talked to him for five minutes without mentioning our son, Bart, you’d see how sane he is.","7F24   STARK RAVING DAD","2"
"MARGE","(SATISFIED SIGH, IN A TRANQUIL, HUSHED TONE) You know, Maggie, this is my favorite time of the day. Just you and me, making a hearty breakfast for the rest of the family, stoking their little furnaces for the busy day ahead.","7G01   SOME ENCHANTED EVENING","8"
"MARGE","And you know what else I like about the wee hours of the morn? This is our time to be together. In quick succession, the toast POPS, the oatmeal BLURBLES, tsa kettle WHISTLES, and the eggs are ready. Marge finishes setting a beautiful tableau of a breakfast table, and pours herself a cup of coffee.","7G01   SOME ENCHANTED EVENING","8"
"MARGE","Oh, I dread the day when you realize you're a separate human being. (KISSES","7G01   SOME ENCHANTED EVENING","7"
