character,dialogue,episode
ANNOUNCER,Malibu Stacy -- America’s favorite 8,1F12   LISA VS MALIBU STACY
ANNOUNCER,"In 1959, homemaker Stacy Lovell had a design and a dream. The design--Malibu Stacy. The dream--to mass-market a fashion doll that was also edible.",1F12   LISA VS MALIBU STACY
ANNOUNCER,"Kids didn’t much like the taste of dried onion meal, but they loved the doll! A second, plastic Malibu Stacy took America by storm. Just ask the owner of the world’s largest Malibu Stacy collection--Waylon Smithers of Springfield.",1F12   LISA VS MALIBU STACY
SMITHERS,"Hello, Malibu Stacy collectors! I’11 see you at StacyCon’94, at the San Diego Airport Hilton!",1F12   LISA VS MALIBU STACY
ANNOUNCER,And what does Stacy think of her 35 years of success and millions of friends worldwide?,1F12   LISA VS MALIBU STACY
ANNOUNCER,She sure is!,1F12   LISA VS MALIBU STACY
LISA,I have one.,1F12   LISA VS MALIBU STACY
LISA,"Is the remarkably sexist drivel spouted by Malibu Stacy intentional, or is it just a horrible mistake?",1F12   LISA VS MALIBU STACY
EXECUTIVE,"Hey, Jigglesi! Grab a pad and back that gorgeous butt in here!",1F12   LISA VS MALIBU STACY
EXECUTIVE,"Ah, don’t act like you don’t like it.",1F12   LISA VS MALIBU STACY
LISA,It’s awful being a kid. No one listens to you.,1F12   LISA VS MALIBU STACY
GRANDPA,It’s rotten being old. No one listens to you. Homer enters.,1F12   LISA VS MALIBU STACY
HOMER,"I’m a white male, aged 18-49. Everyone listens to me! No matter how dumb my suggestions are. He opens a cabinet and takes out a can labelled ""Nuts & Gum--Together at Last!"" He nods proudly, takes a handful, and walks out.",1F12   LISA VS MALIBU STACY
LISA,"Well, I’m not going to accomplish anything just sitting here--",1F12   LISA VS MALIBU STACY
GRANDPA,--And gripin’. It’s time for --,1F12   LISA VS MALIBU STACY
LISA,Action! I’ve got to talk to that woman who invented Malibu Stacy and see if I can get her to --,1F12   LISA VS MALIBU STACY
GRANDPA,-- Come out of retirement! I’m gonna get me a job! A real Malibu! (GETTING CONFUSED) ...And see if Stacy can help,1F12   LISA VS MALIBU STACY
LISA,You’re getting a job.,1F12   LISA VS MALIBU STACY
GRANDPA,Yes! I’m goin’ where the action is!,1F12   LISA VS MALIBU STACY
GRANDPA,Come in! Come in! Mayday! I’m losing your transmission!,1F12   LISA VS MALIBU STACY
GRANDPA,"What the...? Do we sell  “french fries?""",1F12   LISA VS MALIBU STACY
SMITHERS,"Yes? Why, it’s Homer Simpson’s daughter.",1F12   LISA VS MALIBU STACY
LISA,I thought you might be able to help me get in touch with the inventor of,1F12   LISA VS MALIBU STACY
SMITHERS,"Whew! That would be quite a feat. Stacy Lovell’s a total recluse -- hasn’t appeared in public in 20 years. Here, I’m writing an article on her for my next Malibu Stacy Newsletter. zt contains her last known whereabouts. I’ll - uh -print you out a copy.",1F12   LISA VS MALIBU STACY
LISA,Thanks.,1F12   LISA VS MALIBU STACY
BURNS,"Hello, Smithers. You’re quite good at turning me on.",1F12   LISA VS MALIBU STACY
SMITHERS,"Um, you probably should ignore that.",1F12   LISA VS MALIBU STACY
LISA,"No, it couldn’t be... She stops and takes a Malibu Stacy catalog out of her knapsack. A CLOSE-UP reveals that this house looks exactly like Malibu Stacy’s Dream House. Lisa parks her bike and goes up to an intercom on the gate. She musters her courage and pushes the button.",1F12   LISA VS MALIBU STACY
LISA,Excuse me. Miss Lovell? I’d like to talk to you about Malibu Stacy.,1F12   LISA VS MALIBU STACY
LISA,Am I the first?,1F12   LISA VS MALIBU STACY
LISA,I want you to hear what Malibu Stacy is,1F12   LISA VS MALIBU STACY
MAN,"All right! I’ve been waiting nine years to get my Frisbee back! He grabs his Frisbee out of a bush and runs back out. The gates close. A moment later we see the Frisbee fly over the wall, back into the yard.",1F12   LISA VS MALIBU STACY
MAN,Ohhhhh...,1F12   LISA VS MALIBU STACY
LOVELL,I see exactly what you mean. This is a problem. But what do you expect me to do?,1F12   LISA VS MALIBU STACY
LISA,Change what she says. It’s your company.,1F12   LISA VS MALIBU STACY
LOVELL,Not since I was forced out in 1974. They said my way of thinking just wasn’t cost effective.,1F12   LISA VS MALIBU STACY
LISA,That’s awful!,1F12   LISA VS MALIBU STACY
LOVELL,"Well, that, and I was funneling",1F12   LISA VS MALIBU STACY
LISA,"But you are Malibu Stacy, and as long as she has your name, you have a responsibility. I’d be mortified if someone ever made a lousy product with the Simpson name on it.",1F12   LISA VS MALIBU STACY
LOVELL,"I may have had things in common with Stacy in the beginning, but thirty years of living her lifestyle taught me some very harsh lessons. Five husbands...",1F12   LISA VS MALIBU STACY
LISA,"But if you can learn from Malibu Stacy’s mistakes, so can everyone. I’m sure we can think of something together. C/’mon!",1F12   LISA VS MALIBU STACY
LOVELL,"Eh. Not now, I’m too drunk.",1F12   LISA VS MALIBU STACY
LISA,No you’re not!,1F12   LISA VS MALIBU STACY
GRANDPA,"Hey! Now that old man Peterson’s off our backs, let’s have some fun! Grampa turns his back for a moment, then turns back around with a hamburger bun with his dentures in the middle. He operates it like a puppet.",1F12   LISA VS MALIBU STACY
GRANDPA,"Ever see a sandwich that could take a bite out of you? The oblivious sullen young employee mechanically takes the burger, wraps it up, and hands it through the drive- thru window to a waiting CUSTOMER who drives away.",1F12   LISA VS MALIBU STACY
LISA,"I’ve got the solution -- you and I are going to make our own talking doll. She’ll have the wisdom of Jeanne Kirkpatrick and the wit of Cathy Guisewite, the tenacity of Nina Totenberg and the common sense of Elizabeth Cady Stanton. And to top it off, the down-to-earth good looks of Eleanor Roosevelt!",1F12   LISA VS MALIBU STACY
LOVELL,"Alright, we’ll make your doll!",1F12   LISA VS MALIBU STACY
LOVELL,"Joe, I told you. It’s over. Release me from your kung fu grip.",1F12   LISA VS MALIBU STACY
MARGE,I’m very flattered to be the model for your doll. I wonder if this is how Cheryl Tiegs got started.,1F12   LISA VS MALIBU STACY
BART,"Mom, we like your joke, but please stop saying it over and over.",1F12   LISA VS MALIBU STACY
LISA,Make sure you get my Mom’s hair just right.,1F12   LISA VS MALIBU STACY
LOVELL,"Um, I think we’ll use someone different for the hair.",1F12   LISA VS MALIBU STACY
LISA,How about me?,1F12   LISA VS MALIBU STACY
LOVELL,{HESTITANT NOISE) There’s something not quite...,1F12   LISA VS MALIBU STACY
BART,How about me?,1F12   LISA VS MALIBU STACY
LOVELL,"You all have hideous hair! I mean from a design point of view. Lisa stands in a sound booth, recording sayings for her talking doll from a book of quotations. Stacy Lovell and a very bored TECHNICIAN sit in the control room.",1F12   LISA VS MALIBU STACY
LISA,"""... mais seulement pour les coeurs des femmes."" Let me try that again.",1F12   LISA VS MALIBU STACY
KRUSTY,"struts into the sound booth, wearing shorts, polo shirt, and baseball cap and smoking a cigar. Ignoring Lisa, he grabs the microphone.",1F12   LISA VS MALIBU STACY
KRUSTY,"Alright you poindexters, let’s get this right. OneHeyheykidsI’mfalkingKrusty! TwoHeyheyherecomesSlideshowMel- again-",1F12   LISA VS MALIBU STACY
LISA,Wow! This is just how the Malibu Stacy corporation got started.,1F12   LISA VS MALIBU STACY
LOVELL,"Actually, it started with a million dollar loan from a Dutch venture capital group.  But this way is good, too. Lisa finishes filling the molds. 4) INT. SIMPSON HOUSE - LIVING ROOM - DAY",1F12   LISA VS MALIBU STACY
DOLL,Trust in yourself and you can achieve anything.,1F12   LISA VS MALIBU STACY
BART,"How about ""Blabbermouth -- The Jerky Doll for Jerks?""",1F12   LISA VS MALIBU STACY
LISA,"How about ""Minerva,"" after the Roman goddess of wisdom?",1F12   LISA VS MALIBU STACY
LOVELL,"Hmm, not enough commercial appeal.",1F12   LISA VS MALIBU STACY
BART,"""Wendy Windbag""?. ""Ugly Doris""? ""Hortense: The Mule-faced Doll""?",1F12   LISA VS MALIBU STACY
LOVELL,"I think we should name her after Lisa. We’ll call her ""Lisa Lionheart.""",1F12   LISA VS MALIBU STACY
BART,"No! “Loudmouth Lisa!"" Everyone is ignoring Bart.",1F12   LISA VS MALIBU STACY
BART,"“Stupid Lisa Garbageface!""  I can’t stand this any longer! Somebody please pay attention to me!",1F12   LISA VS MALIBU STACY
BART,Hello! Look at me! I’m Bart! I’m Bart! Look at me! etc.,1F12   LISA VS MALIBU STACY
BART,"I feel like a big sissy, but I’1l help -Okay?  Look at me, I’m helping, I’m helping! Look at me!",1F12   LISA VS MALIBU STACY
GRANDPA,Wha-at?! You can’t talk to me like that. I’m going to call your mother!,1F12   LISA VS MALIBU STACY
LISA,This is great! They’re really gonna sell our doll.,1F12   LISA VS MALIBU STACY
LOVELL,"Well, it wasn’t difficult. I told them who I was, and who you were, and they couldn’t resist.",1F12   LISA VS MALIBU STACY
LISA,Really?,1F12   LISA VS MALIBU STACY
LOVELL,"Well, I didn’t tell them who you were.",1F12   LISA VS MALIBU STACY
LISA,"Dad, did you hear something?",1F12   LISA VS MALIBU STACY
HOMER,I’unno.,1F12   LISA VS MALIBU STACY
KENT BROCKMAN,"is working at his old roll-top desk, typing a newscast on his manual typewriter. His sleeves are rolled up and he’s smoking -- he looks very reporterly.",1F12   LISA VS MALIBU STACY
KENT BROCKMAN,"Please, honey, Daddy’s job is to bring people important news. Right now I’m very busy preparing a report about the fortieth anniversary of Beetle Bailey.",1F12   LISA VS MALIBU STACY
KENT BROCKMAN,Well... You were right about the Berlin Wall.,1F12   LISA VS MALIBU STACY
KENT BROCKMAN,"Though it was unusual to spend 28 minutes reporting on a doll, this reporter found it impossible to stop talking. It’s just really fascinating",1F12   LISA VS MALIBU STACY
KENT BROCKMAN,"Oh. And the President was found naked, hiding in the top of the Washington Monument. More on that tomorrow after part six of my interview with Yahoo Serious.",1F12   LISA VS MALIBU STACY
EXECUTIVE,Can we order Chinese food?,1F12   LISA VS MALIBU STACY
GRANDPA,"I told you we don’t have soft boiled eggs. If you --  ...By gum, you’re right, we should have ‘em! I shouldn’t be listening to complaints, I should be makin’ ’em with you guys. The good Lord lets us grow old for a reason: To gain the wisdom to find fault with everything he’s made! My place is on the other side of this counter, and here I come! Grampa starts to leap over the counter. Cur TO:",1F12   LISA VS MALIBU STACY
PAN,along the crowd BANGING on the big glass doors.,1F12   LISA VS MALIBU STACY
GIRLS,I want Lisa Lionheart! / I want the doll from TV! / Someone’s stepping on me! / I wannit! I wannit! I wannit!,1F12   LISA VS MALIBU STACY
SMITHERS,I wannit! I wannit! I wannit! Me! Me! Mel!,1F12   LISA VS MALIBU STACY
GIRL,"#1 Oh, my god, they changed Malibu Stacy!",1F12   LISA VS MALIBU STACY
GIRL,"#2 Look, she’s got a hat! She’s better than ever! We see Malibu Stacy Plus is just a regular Malibu Stacy",1F12   LISA VS MALIBU STACY
LISA,Wait! Don’t be fooled! She’s just a regular Malibu Stacy with a stupid cheap hat! She still embodies all the awful stereotypes she did before. Smithers sticks his head out from the rear of the crowd.,1F12   LISA VS MALIBU STACY
SMITHERS,But she’s got a new hat.,1F12   LISA VS MALIBU STACY
GIRLS,I wannit! I wannit! / New hat! / etc.,1F12   LISA VS MALIBU STACY
LISA,"Well, I guess you can’t beat big business. There’s just no room for the little guy.",1F12   LISA VS MALIBU STACY
HOMER,"Well, we little guys still have a few tricks up our sleeves. Homer takes a Malibu Stacy, opens the box, and spits",1F12   LISA VS MALIBU STACY
DOLL,Trust in yourself and you can achieve anything.,1F12   LISA VS MALIBU STACY
LISA,"You know, if we get through to just that one little girl, it will all be worth it.",1F12   LISA VS MALIBU STACY
LOVELL,"Yes. Particularly if that little girl happens to pay $46,000 for that doll.",1F12   LISA VS MALIBU STACY
LISA,What?,1F12   LISA VS MALIBU STACY
LOVELL,"Oh, nothing. Kudos to you, Lisa! Kudos!",1F12   LISA VS MALIBU STACY
HOMER,"Marge, Lisa, Lady -- If you’ll excuse me, I’ve got something",1F12   LISA VS MALIBU STACY
BART,"Oh, man. They are gonna eat this up at Show & Tell.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
BART,Argh! I gotta find something else quick!,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
MARGE,Why don't you bring this potato? It's pretty big.,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
BART,I gotta find something for Show & Tell. Where's that stupid clay cat you,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
LISA,"Just take one of my geodes. (OFF HIS LOOK) The rocks on my desk. No, that's the Trilobite... That's petrified wood... That's a bran muffin.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
MARTIN,"Greetings, fellow geodologist. My geode was found in the Limpopo Basin of",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
BART,"Boys and girls, Mrs. Krabappel, I come before you today to answer a question that has plagued mankind for centuries -",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
NELSON,A walkin'-clock!,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
MARTIN,I'd wager he has some variety,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,"Bart, is it a walking clock?",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
BART,"What?  No, it's my",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,"Oh, he is a gem! Here, boy, would you like these cookies Martin",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
WILLIE,"Hey, pooch. Poochie-pooch. The dog glances over and Willie looks ecstatic. Everyone,",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
MILHOUSE,It's lying down!,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,"Ha! He sure does. You know, I had a dog once who... All right, back to Show & Tell. We'll put the dog away. C'mon, boy.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,"Well, Martin, we're all waiting to hear about your geode.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
MARTIN,This geode --,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,"Well, I'm sure Ulysses Grant didn't",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,"Class, please. Now, they were",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
RALPH,Miss Hoover? There's a dog in the vent.,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
LISA,"Oh, no. This could wind up being as embarrassing as Grandparent's Day.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
SKINNER,I know Weinstein's parents,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
WILLIE,"Sir, ye've goot to coom quick! There's a doog roonin' aroond in the air doocts!",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
SKINNER,Remain calm. There is a dog in the vents. The class erupts in a frenzy.,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
SKINNER,Ssshhh!  He's up,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
MILHOUSE,"Hey Bart, look, there's a bunch of",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
SKINNER,"Bart Simpson, I understand this is your dog. Any suggestions?",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
WILLIE,"What?! Have ye gone waxy in the beester?! I canna fit in the wee vent,",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
WILLIE,Have ye got any grease?,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,"Children, that's not helping.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
LISA,"Miss Hoover, maybe things would calm down if we went back to class and tried to keep working.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
HOOVER,"Why don't you go in and erase the blackboard, and  the rest of us will join you in a bit.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,Huh?,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
SKINNER,"Don't you sass me! I am in no mood for back-chat, flip-lip, applesauce or flack of any kind! Capiche?!",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
NURSE,"Boys, your hay fever was probably set",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
WILLIE,"Whoogh! ""Tis more dizzying than the belfry at St. Corgegluynwaagen's! Well, time for a",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
SKINNER,"Food and drink... not permitted... in gymnasium. Superintendent Chalmers storms in, livid.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
SKINNER,"Superintendent Chalmers, you didn't have to come all the way down here.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
CHALMERS,"I've had it with this school, Skinner: the low test scores, class after class",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
CHALMERS,"No, I said you were fired.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
BART,be jumping for joy the day but now all I have is this,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
BART,my plan to get him fired. lved a series of,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
HOMER,"Well, I'm off to work. Homer picks up the dog and dashes out the door.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
MARGE,I think the dog has had enough excitement.,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
HOMER,"All right, all right, I won't take the dog.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
LENNY,Can we go home yet?,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
CARL,"Eh, I'll just go phone in a bomb threat.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
CHALMERS,"Because of Mr. Skinner's sudden departure, I've had to appoint a new principal. Leopold?",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
BART,"Aye, aye, Captain Pushover.",1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
KRABAPPEL,Ha!,1F18   SWEET SEYMOUR SKINNER'S BAADASSSSS SONG
